name,Type,Orbit (AU),e,Value ($),Est. Profit ($),Δv (km/s),Group
Guangdong,S,2.71,0.16,0,0,9.925,MBA
Ries,Sk,2.772,0.225,0,0,10.511,MBA
Scabiosa,S,2.768,0.042,0,0,10.198,MBA
Unitas,S,2.358,0.151,0,0,,MBA
Gryphia,S,2.199,0.079,0,0,8.833,MBA
Renzia,S,2.263,0.294,0,0,7.807,MCA
Montefiore,Sl,2.18,0.039,0,0,9.056,MBA
Ruperto-Carola,S,2.736,0.328,0,0,8.787,MBA
Per Brahe,S,2.725,0.183,0,0,9.49,MBA
Bauersfelda,S,2.906,0.1,0,0,10.158,MBA
Manto,S,2.321,0.265,0,0,8.298,MBA
Korhonen,S,2.608,0.124,0,0,10.519,MBA
Grieve,S,2.605,0.383,0,0,11.369,MCA
Talbot,S,2.764,0.136,0,0,11.431,MBA
Thomsen,S,2.179,0.33,0,0,7.513,MCA
Barbara,Ld,2.386,0.245,0,0,,MBA
Massevitch,R,2.744,0.072,0,0,10.758,MBA
Tynka,S,2.199,0.208,0,0,8.247,MBA
Stavropolis,S,2.271,0.232,0,0,8.239,MBA
Tanina,S,2.226,0.075,0,0,8.909,MBA
Ashbrook,S,2.783,0.112,0,0,10.203,MBA
Szmytowna,S,2.939,0.116,0,0,10.139,MBA
Mehltretter,S,2.741,0.112,0,0,9.878,MBA
Amundsenia,S,2.36,0.297,0,0,8.363,MCA
Tsvetaeva,S,2.745,0.201,0,0,9.696,MBA
Sanenobufukui,S,2.801,0.092,0,0,10.261,MBA
Plovdiv,S,2.807,0.153,0,0,10.002,MBA
Kotka,S,2.746,0.196,0,0,9.736,MBA
Geramtina,S,2.796,0.171,0,0,9.902,MBA
King,S,2.786,0.031,0,0,10.499,MBA
Gothlandia,S,2.19,0.181,0,0,8.347,MBA
West,S,2.707,0.118,0,0,9.844,MBA
Alva,S,2.805,0.113,0,0,9.993,MBA
Vysheslavia,S,2.829,0.021,0,0,10.344,MBA
Bruce Helin,Sl,2.362,0.215,0,0,11.09,MBA
Simferopol,Sl,2.804,0.13,0,0,9.968,MBA
Jaroslawa,S,2.218,0.241,0,0,8.15,MBA
Ukyounodaibu,S,2.81,0.216,0,0,9.868,MBA
Kahrstedt,Sa,2.547,0.153,0,0,9.506,MBA
Miahelena,S,2.792,0.098,0,0,10.371,MBA
Gaspra,S,2.21,0.174,0,0,8.402,MBA
Cydonia,S,2.596,0.126,0,0,10.266,MBA
Echo,S,2.392,0.185,0,0,,MBA
Universitas,S,2.216,0.154,0,0,8.584,MBA
Naudts,Sl,2.762,0.059,0,0,10.251,MBA
Tokiwagozen,S,2.744,0.058,0,0,11.305,MBA
Grubba,S,2.196,0.188,0,0,8.274,MBA
Nikonov,S,2.814,0.159,0,0,10.06,MBA
Azalea,S,2.23,0.178,0,0,8.501,MBA
Gehrels,Sq,2.627,0.018,0,0,10.044,MBA
Dollfus,S,2.723,0.153,0,0,9.898,MBA
Marshak,Sa,2.387,0.233,0,0,9.516,MBA
Dulcinea,S,2.409,0.244,0,0,8.568,MBA
Hildegard,Sl,2.731,0.371,0,0,8.834,MBA
Zu Chong-Zhi,S,2.548,0.167,0,0,9.309,MBA
Kyoto,S,2.76,0.198,0,0,9.957,MBA
Huygens,S,2.802,0.171,0,0,10.018,MBA
Vojislava,Sl,2.529,0.186,0,0,9.746,MBA
Algunde,S,2.239,0.113,0,0,8.778,MBA
Flagstaff,S,2.546,0.221,0,0,9.051,MBA
Christy Carol,S,2.542,0.158,0,0,9.374,MBA
Tito,S,2.544,0.314,0,0,8.712,MBA
Lee,V,2.344,0.1,0,0,9.296,MBA
Wood,S,2.395,0.301,0,0,10.061,MBA
Vulkaneifel,S,2.617,0.193,0,0,10.042,MBA
Klytaemnestra,Sk,2.976,0.111,0,0,,MBA
Kraft,S,2.735,0.255,0,0,13.209,MBA
Lecar,S,2.759,0.107,0,0,10.221,MBA
Robinson,Sr,2.772,0.139,0,0,10.282,MBA
Malzovia,S,2.244,0.173,0,0,8.56,MBA
Nuki,S,2.801,0.144,0,0,10.066,MBA
Lucretia,S,2.187,0.133,0,0,,MBA
Giacconi,Sq,2.738,0.013,0,0,10.688,MBA
Tolkien,S,2.213,0.101,0,0,8.726,MBA
Herget,S,2.789,0.175,0,0,9.863,MBA
Ahrensa,Sa,2.372,0.158,0,0,11.459,MBA
Jitka,Sr,2.792,0.057,0,0,10.198,MBA
Amenemhet,S,2.715,0.204,0,0,10.262,MBA
Atami,S,1.947,0.256,0,0,8.036,MCA
Eric,S,2.001,0.449,0,0,7.709,AMO
Zhejiang,S,2.797,0.162,0,0,10.06,MBA
Ebilson,Sl,2.79,0.035,0,0,10.539,MBA
Hakoila,Sq,2.719,0.176,0,0,9.519,MBA
DiMaggio,Sa,2.604,0.137,0,0,10.307,MBA
Gaviola,Sq,2.76,0.089,0,0,10,MBA
Danjon,S,2.269,0.195,0,0,8.771,MBA
Casarini,S,2.749,0.249,0,0,9.53,MBA
Mount Locke,Sr,2.801,0.131,0,0,10.095,MBA
Mikko,S,2.231,0.084,0,0,8.985,MBA
Keithnoll,S,2.271,0.302,0,0,8.15,MCA
Janesick,S,2.198,0.362,0,0,9.593,MCA
Wurm,S,2.236,0.069,0,0,8.977,MBA
Chekhov,S,2.782,0.047,0,0,10.181,MBA
Plaskett,S,2.805,0.095,0,0,10.347,MBA
1991 VZ1,S,2.764,0.064,0,0,10.57,MBA
Suzhousanzhong,Sl,2.762,0.067,0,0,10.087,MBA
Arcadia,S,2.789,0.044,0,0,10.252,MBA
Rosina,S,2.3,0.277,0,0,8.063,MCA
1998 WS,Sr,2.655,0.395,0,0,11.307,MCA
Parker,Sl,2.35,0.343,0,0,10.001,MCA
Byron,S,2.248,0.145,0,0,8.67,MBA
Sitarski,Sq,2.753,0.151,0,0,9.744,MBA
Principia,V,2.444,0.08,0,0,9.459,MBA
Gaffey,Sa,2.872,0.057,0,0,10.293,MBA
Roth,S,2.725,0.163,0,0,9.953,MBA
Steyaert,S,2.79,0.105,0,0,10.339,MBA
Belgica,S,2.236,0.144,0,0,8.655,MBA
Kliment Ohridski,Sq,2.931,0.08,0,0,10.251,MBA
Laodamia,Sr,2.392,0.351,0,0,7.923,MCA
Livesey,S,2.699,0.182,0,0,10.083,MBA
1990 TL4,Sq,2.804,0.169,0,0,9.913,MBA
Peking,V,2.379,0.056,0,0,9.567,MBA
Nancita,S,2.367,0.296,0,0,8.108,MBA
Dzhanibekov,S,2.927,0.089,0,0,10.217,MBA
Gondolatsch,S,2.226,0.078,0,0,8.966,MBA
Sakitama,S,2.707,0.111,0,0,10.381,MBA
Minamioda,S,2.796,0.151,0,0,10.157,MBA
Sawyer Hogg,S,2.795,0.113,0,0,10.638,MBA
Anitra,S,2.219,0.128,0,0,8.768,MBA
Lagerkvist,S,2.796,0.104,0,0,10.3,MBA
1982 VF,Sq,2.74,0.106,0,0,10.164,MBA
Robertfrazer,S,2.408,0.34,0,0,9.944,MCA
Perkin,S,2.928,0.065,0,0,10.352,MBA
Espinette,Sl,2.284,0.278,0,0,8.013,MCA
Kampala,S,2.534,0.169,0,0,9.269,MBA
Bowen,Sq,2.777,0.102,0,0,9.942,MBA
Yeomans,Sr,2.766,0.091,0,0,9.958,MBA
Vellamo,S,2.309,0.03,0,0,9.678,MBA
Agathe,S,2.202,0.242,0,0,,MBA
Tokai,S,2.225,0.069,0,0,8.969,MBA
Otila,Sa,2.197,0.171,0,0,8.477,MBA
Primula,S,2.56,0.271,0,0,8.732,MBA
Slovakia,S,2.226,0.179,0,0,8.394,MBA
Ivar,S,1.863,0.397,0,0,6.32,AMO
Schaumasse,S,2.237,0.024,0,0,9.164,MBA
Erbisbuhl,Sk,2.359,0.376,0,0,9.618,MCA
Chivilikhin,S,2.783,0.171,0,0,9.99,MBA
Beryl,S,2.23,0.101,0,0,8.763,MBA
Ndola,S,2.246,0.162,0,0,8.776,MBA
Porzia,S,2.229,0.286,0,0,7.799,MCA
Bastian,Sl,2.454,0.168,0,0,9.264,MBA
Purkyne,S,2.802,0.091,0,0,10.098,MBA
Sax,S,2.753,0.195,0,0,9.662,MBA
Kundry,S,2.231,0.11,0,0,8.849,MBA
Erin,S,2.543,0.184,0,0,9.219,MBA
Barnardiana,S,2.198,0.142,0,0,8.575,MBA
Harbin,V,2.479,0.123,0,0,9.581,MBA
Raybrown,Ld,2.748,0.103,0,0,9.888,MBA
Sita,Sa,2.174,0.137,0,0,,MBA
Ragazza,S,2.8,0.168,0,0,10.085,MBA
Bistro,Sa,2.435,0.091,0,0,10.395,MBA
Chapman,S,2.266,0.191,0,0,8.429,MBA
Immo,S,2.796,0.172,0,0,10.053,MBA
Aehlita,S,2.769,0.059,0,0,10.162,MBA
Kajov,Sl,2.402,0.037,0,0,9.514,MBA
Quincy,S,2.93,0.123,0,0,10.05,MBA
Hallstrom,V,2.397,0.089,0,0,9.429,MBA
1990 TZ,S,2.427,0.268,0,0,10.573,MBA
Sinuhe,Sa,2.769,0.206,0,0,9.85,MBA
Pecker,S,2.238,0.155,0,0,8.986,MBA
Gokumenon,S,2.765,0.205,0,0,9.902,MBA
Patrick Gene,S,2.808,0.135,0,0,9.87,MBA
1941 UN,S,2.758,0.337,0,0,8.88,MBA
Bradfield,Sq,2.758,0.098,0,0,9.967,MBA
Sisyphus,S,1.894,0.538,0,0,13.635,APO
Berounka,S,2.794,0.091,0,0,10.384,MBA
Huggins,S,2.232,0.079,0,0,8.94,MBA
Felix,S,2.339,0.224,0,0,8.563,MBA
Nikko,S,2.237,0.106,0,0,8.906,MBA
Kochi,Sa,2.795,0.072,0,0,10.815,MBA
Messner,Sq,2.791,0.111,0,0,9.956,MBA
Mayall,S,1.887,0.111,0,0,13.814,IMB
Amici,S,2.69,0.107,0,0,9.919,MBA
Kasan,Sr,2.413,0.315,0,0,10.661,MCA
Kaula,S,2.735,0.114,0,0,9.808,MBA
Wallonia,S,2.18,0.239,0,0,9.527,MCA
Kochera,S,2.206,0.058,0,0,8.888,MBA
Lorenz,S,2.553,0.191,0,0,9.187,MBA
Waland,Ld,2.746,0.053,0,0,10.115,MBA
Kathy,S,2.382,0.256,0,0,8.821,MBA
Kollontai,Sl,2.213,0.16,0,0,8.572,MBA
Dence,S,2.394,0.231,0,0,11.401,MBA
Nicholson,S,2.239,0.128,0,0,8.795,MBA
Royer,S,2.605,0.046,0,0,11.089,MBA
Haas,S,2.808,0.137,0,0,10.16,MBA
Fridolin,Sq,2.792,0.097,0,0,10.013,MBA
Kobzar,Sq,2.739,0.166,0,0,9.595,MBA
Parchomenko,S,2.244,0.135,0,0,8.702,MBA
Mongmanwai,S,2.553,0.188,0,0,9.375,MBA
Ahnert,S,2.229,0.065,0,0,8.985,MBA
Lemaitre,Sq,2.393,0.348,0,0,9.942,MCA
WIYN,S,2.244,0.171,0,0,8.552,MBA
Sutoku,S,2.691,0.11,0,0,10.544,MBA
Atanasoff,Sa,2.694,0.027,0,0,10.331,MBA
Mozartia,S,2.293,0.263,0,0,8.123,MBA
Armandhammer,Sq,2.349,0.066,0,0,9.41,MBA
Oosterhoff,S,2.183,0.203,0,0,8.213,MBA
Clapton,S,2.913,0.071,0,0,10.269,MBA
van Albada,S,2.241,0.165,0,0,8.525,MBA
Somnium,S,2.206,0.196,0,0,8.489,MBA
Andres Bello,S,2.203,0.08,0,0,8.903,MBA
Patterson,V,2.298,0.104,0,0,9.241,MBA
1984 CF,S,2.784,0.101,0,0,10.39,MBA
Kirghizia,V,2.449,0.079,0,0,9.494,MBA
Balster,S,2.802,0.045,0,0,10.247,MBA
Sonja,Sq,2.228,0.275,0,0,7.952,MCA
Nancy,S,2.218,0.139,0,0,8.595,MBA
Kollaa,V,2.362,0.074,0,0,9.509,MBA
Geowilliams,Sk,2.415,0.226,0,0,9.266,MBA
Josefa,Sq,2.546,0.279,0,0,9.299,MBA
Pogson,S,2.188,0.056,0,0,8.924,MBA
Kallavesi,Sl,2.398,0.093,0,0,9.559,MBA
Bronnina,S,2.221,0.041,0,0,9.26,MBA
Entsuji,S,2.368,0.249,0,0,8.739,MBA
Kushiro,Sl,2.811,0.152,0,0,10.091,MBA
Hatanaka,Sq,2.791,0.11,0,0,9.912,MBA
Vrchlicky,Sl,2.722,0.169,0,0,9.844,MBA
Yurilvovia,Ld,2.742,0.109,0,0,9.861,MBA
Kierkegaard,Sq,2.81,0.048,0,0,10.326,MBA
Matsuyama,S,2.555,0.218,0,0,9.061,MBA
Verbitskaya,S,2.807,0.172,0,0,10.092,MBA
Patry,Sl,2.234,0.13,0,0,8.733,MBA
Jeans,V,2.404,0.218,0,0,8.623,MBA
Hyakkai,S,2.756,0.162,0,0,9.723,MBA
Cossard,V,2.369,0.061,0,0,9.522,MBA
Mach,Sq,2.208,0.032,0,0,9.081,MBA
Yinhai,S,2.234,0.194,0,0,8.432,MBA
Nemo,S,2.288,0.343,0,0,7.818,MCA
Kenreimonin,Sq,2.801,0.067,0,0,10.128,MBA
Dimitrov,R,2.44,0.014,0,0,9.648,MBA
Ikenozenni,S,2.571,0.318,0,0,8.486,MBA
Satpaev,Sl,2.222,0.131,0,0,8.71,MBA
Elmer,S,2.79,0.169,0,0,9.941,MBA
Boduognat,Sl,2.449,0.156,0,0,9.004,MBA
Taihaku,Sa,2.712,0.058,0,0,10.087,MBA
Sahlia,S,2.207,0.079,0,0,8.951,MBA
Galina,Sl,2.395,0.132,0,0,9.503,MBA
Studnicka,S,2.776,0.246,0,0,9.474,MBA
House,Sq,2.747,0.183,0,0,10.184,MBA
Miyazawakenji,S,2.215,0.061,0,0,9.04,MBA
Oleshko,S,2.244,0.108,0,0,8.863,MBA
Isora,Sq,2.252,0.278,0,0,7.997,MCA
1997 CZ5,S,2.295,0.397,0,0,10.147,MCA
Holt,S,2.318,0.335,0,0,9.955,MCA
Jack London,S,2.196,0.141,0,0,8.55,MBA
McCord,S,2.292,0.121,0,0,8.952,MBA
1986 QS,S,2.783,0.165,0,0,9.946,MBA
Gostin,S,2.225,0.087,0,0,8.889,MBA
Delcano,S,2.277,0.177,0,0,8.745,MBA
Pels,Sa,2.19,0.156,0,0,8.467,MBA
Tanaka,S,2.438,0.014,0,0,9.725,MBA
Galya,S,2.524,0.164,0,0,9.189,MBA
Ikeya,Sq,2.771,0.16,0,0,9.929,MBA
Vanphilos,S,2.367,0.36,0,0,9.876,MCA
Kwasan,V,2.382,0.101,0,0,9.269,MBA
Donna,Sl,2.387,0.101,0,0,9.19,MBA
Beckman,S,2.406,0.397,0,0,9.42,MCA
Gefion,Sl,2.784,0.151,0,0,9.999,MBA
Doga,Sl,2.762,0.163,0,0,9.723,MBA
Kaverznev,S,2.195,0.14,0,0,8.575,MBA
Stravinsky,Sa,2.541,0.195,0,0,9.17,MBA
Binomi,S,2.351,0.128,0,0,9.064,MBA
Charlieparker,S,2.754,0.102,0,0,9.983,MBA
Burt,S,2.805,0.173,0,0,9.914,MBA
Mawson,Ld,2.375,0.277,0,0,9.262,MBA
Griffin,S,2.342,0.312,0,0,9.897,MCA
Peltier,V,2.235,0.162,0,0,8.589,MBA
Rodari,S,2.193,0.057,0,0,9.055,MBA
Hubei,V,2.386,0.128,0,0,9.179,MBA
Aubignan,Sa,2.255,0.271,0,0,8.317,MCA
Beals,S,2.218,0.045,0,0,9.282,MBA
Suzamur,Sq,2.524,0.112,0,0,9.508,MBA
Namba,S,2.459,0.048,0,0,9.607,MBA
Gekko,Sq,2.796,0.111,0,0,9.913,MBA
Huntress,S,2.341,0.203,0,0,8.733,MBA
Hamina,Ld,2.346,0.138,0,0,9.405,MBA
Paradise,Sa,2.396,0.172,0,0,13.176,MBA
Souseki,S,2.416,0.062,0,0,9.498,MBA
Watts,S,2.199,0.122,0,0,8.757,MBA
Ruzena,S,2.237,0.08,0,0,8.976,MBA
Kitezh,V,2.336,0.15,0,0,8.949,MBA
Sagan,S,2.195,0.07,0,0,8.83,MBA
Jim Young,S,2.244,0.134,0,0,8.736,MBA
Kamo,V,2.417,0.062,0,0,9.541,MBA
Lewis,V,2.355,0.179,0,0,8.675,MBA
Lapalma,V,2.29,0.071,0,0,9.317,MBA
Giblin,Sq,2.795,0.109,0,0,9.94,MBA
Heilongjiang,S,2.192,0.06,0,0,8.847,MBA
Agekian,S,2.543,0.248,0,0,9.091,MBA
Knysna,Sq,2.185,0.163,0,0,8.409,MBA
Javiergorosabel,S,2.293,0.266,0,0,8.565,MBA
Jacliff,R,2.355,0.126,0,0,9.093,MBA
Kunimoto,S,2.748,0.094,0,0,10.026,MBA
Binzel,Sq,2.251,0.158,0,0,8.684,MBA
1990 SV15,Sa,2.736,0.052,0,0,10.101,MBA
Linsley,Sa,2.556,0.208,0,0,9.118,MBA
Bulgaria,Sr,2.24,0.123,0,0,8.767,MBA
Siebold,S,2.222,0.145,0,0,8.62,MBA
Mozhaiskij,Ld,2.45,0.049,0,0,9.825,MBA
Xerxes,S,2.801,0.162,0,0,10.026,MBA
Burbine,S,2.787,0.113,0,0,10.257,MBA
Aunus,S,2.202,0.109,0,0,8.751,MBA
Morrison,Sl,2.215,0.063,0,0,8.906,MBA
Wright,Sl,1.709,0.11,0,0,9.993,MCA
Jarre,S,2.238,0.179,0,0,8.481,MBA
Stepanov,S,2.204,0.088,0,0,8.926,MBA
Banno,S,2.317,0.198,0,0,8.718,MBA
Dientzenhofer,Sk,2.29,0.133,0,0,8.785,MBA
Zaragoza,S,2.403,0.226,0,0,9.462,MBA
Abehiroshi,V,2.396,0.055,0,0,9.429,MBA
Dicicco,S,2.274,0.161,0,0,8.689,MBA
Vesnina,Sq,2.774,0.133,0,0,10.107,MBA
Oozora,S,2.188,0.104,0,0,8.815,MBA
Overbeek,S,2.311,0.281,0,0,8.583,MCA
Shizukagozen,S,2.725,0.225,0,0,9.467,MBA
Vertinskij,S,2.214,0.071,0,0,8.968,MBA
Marielukac,S,2.535,0.256,0,0,8.98,MBA
Repin,V,2.326,0.156,0,0,8.871,MBA
Kagiroino-Oka,Ld,2.769,0.024,0,0,10.28,MBA
Savo,Sa,2.19,0.131,0,0,8.511,MBA
Tokeidai,S,2.251,0.132,0,0,8.769,MBA
Pugovkin,Sa,2.777,0.012,0,0,10.402,MBA
Obi,S,2.202,0.214,0,0,8.283,MBA
Okutama,Sq,2.539,0.276,0,0,8.73,MBA
Dieckvoss,S,2.126,0.115,0,0,8.4,MBA
Michela,S,2.358,0.16,0,0,8.756,MBA
Fagnes,S,2.225,0.281,0,0,8.274,MCA
Newburn,S,2.18,0.116,0,0,8.599,MBA
Ida,S,2.861,0.043,0,0,,MBA
Bragaria,S,2.224,0.168,0,0,8.499,MBA
Kozai,S,1.841,0.2,0,0,17.123,MCA
Dorrit,Sa,1.918,0.207,0,0,9.942,MCA
Bustelli,S,2.698,0.141,0,0,10.388,MBA
Araki,Sl,2.361,0.159,0,0,9.101,MBA
Simonenko,S,2.377,0.01,0,0,9.625,MBA
Netto,S,2.364,0.212,0,0,8.499,MBA
Celle,V,2.416,0.094,0,0,9.357,MBA
Fletcher,V,2.411,0.143,0,0,9.211,MBA
Trisov,S,2.208,0.186,0,0,8.401,MBA
Lepage,V,2.296,0.028,0,0,9.443,MBA
Buchwald,S,2.192,0.054,0,0,9.016,MBA
Tamines,S,2.228,0.086,0,0,9.026,MBA
Incidentia,V,2.474,0.048,0,0,9.729,MBA
Pettengill,S,2.167,0.196,0,0,8.192,MBA
Tsubame,Sr,2.757,0.093,0,0,10.244,MBA
Noel,Sa,2.191,0.086,0,0,8.905,MBA
Cuyo,Sl,2.149,0.506,0,0,9.06,AMO
2000 UV13,Sq,2.425,0.633,0,0,11.296,APO
Tadamori,S,2.223,0.171,0,0,8.486,MBA
Asahina,S,2.401,0.374,0,0,9.648,MCA
Meiden,S,2.248,0.155,0,0,8.622,MBA
Dennisreuter,S,2.268,0.175,0,0,8.818,MBA
Goya,Sq,2.757,0.161,0,0,9.654,MBA
1992 AX,Sk,1.838,0.278,0,0,7.319,MCA
Stekarstrom,S,2.175,0.129,0,0,8.457,MBA
Jansky,Sl,2.372,0.159,0,0,8.81,MBA
Toutatis,Sk,2.531,0.629,0,0,6.59,APO (PHA)
Zdenka,S,2.199,0.104,0,0,8.806,MBA
Namiki,Ld,2.621,0.423,0,0,8.264,MCA
Nedbal,S,2.345,0.192,0,0,9.039,MBA
Couteau,S,2.273,0.246,0,0,8.117,MBA
1992 AE1,Sq,2.734,0.194,0,0,9.889,MBA
Hissao,Sr,2.248,0.085,0,0,8.942,MBA
Fortov,S,2.191,0.176,0,0,8.344,MBA
Adamkrafft,Sq,2.314,0.265,0,0,8.146,MBA
Julian Loewe,V,2.386,0.096,0,0,9.243,MBA
Iwamoto,S,2.256,0.167,0,0,8.77,MBA
Efimov,Sa,2.229,0.232,0,0,8.22,MBA
Brendalee,S,2.254,0.237,0,0,8.132,MBA
Preston,S,2.292,0.22,0,0,10.983,MBA
Bocacara,S,2.291,0.086,0,0,9.362,MBA
Nikulin,V,2.441,0.132,0,0,9.253,MBA
Musashino,S,2.347,0.246,0,0,8.33,MBA
James,Sa,2.124,0.36,0,0,12.938,MCA
Brorfelde,S,1.818,0.053,0,0,10.586,IMB
Mori,S,2.237,0.148,0,0,8.635,MBA
Roddy,S,1.892,0.134,0,0,10.698,MCA
Feldman,S,2.186,0.065,0,0,8.881,MBA
Hobetsu,S,2.237,0.086,0,0,8.894,MBA
Ninian,S,2.265,0.214,0,0,8.313,MBA
Milesdavis,S,2.385,0.302,0,0,8.151,MCA
Kepler,S,2.677,0.469,0,0,8.729,MCA
1991 FE,S,2.195,0.454,0,0,6.663,AMO
Knezevic,V,2.371,0.139,0,0,9.128,MBA
Dorchester,Sa,2.189,0.243,0,0,8.196,MCA
Loviisa,S,2.212,0.075,0,0,8.96,MBA
1996 PW,Ld,253.361,0.99,0,0,12.04,TNO
Florence,S,1.769,0.423,0,0,8.171,AMO (PHA)
Alupka,V,2.368,0.127,0,0,9.137,MBA
Kunikov,Sa,2.179,0.141,0,0,8.469,MBA
Yatsugatake,S,2.24,0.091,0,0,8.949,MBA
Foshan,S,2.227,0.163,0,0,8.489,MBA
Phthia,Sa,2.451,0.036,0,0,,MBA
1998 QS52,Sq,2.203,0.858,0,0,11.251,APO (PHA)
Kunz-Hallstein,Sk,2.322,0.289,0,0,10.794,MCA
Zdislava,Sa,2.199,0.254,0,0,8.04,MCA
ORO,Sq,2.185,0.073,0,0,8.874,MBA
Yayoi,S,2.145,0.065,0,0,8.703,MBA
Elachi,Sl,1.872,0.081,0,0,11.237,IMB
Maymelou,V,2.38,0.129,0,0,9.146,MBA
Ptolemaeus,S,2.287,0.172,0,0,8.678,MBA
Nanking,Sq,2.368,0.375,0,0,9.485,MCA
1992 HE,S,2.241,0.573,0,0,12.423,APO
Lubeck,S,2.305,0.11,0,0,9.1,MBA
Spartacus,V,2.21,0.075,0,0,8.995,MBA
Ralph,Sr,2.294,0.143,0,0,8.869,MBA
Tamblyn,S,2.423,0.227,0,0,8.87,MBA
O'Keefe,Sk,2.371,0.359,0,0,10.002,MCA
Korankei,Sa,2.522,0.19,0,0,9.059,MBA
Kawasato,S,2.441,0.325,0,0,8.169,MCA
Kaendler,Sl,2.162,0.131,0,0,8.485,MBA
1988 RF7,S,2.191,0.244,0,0,8.048,MCA
1991 PE10,S,2.79,0.174,0,0,9.91,MBA
Tezcatlipoca,Sl,1.71,0.365,0,0,9.508,AMO
AAS,Sq,2.262,0.202,0,0,8.323,MBA
Ardenne,S,2.279,0.111,0,0,8.855,MBA
1999 VM40,S,2.312,0.484,0,0,7.929,AMO
1988 WC,S,2.222,0.403,0,0,9.452,MCA
Richard,S,2.163,0.178,0,0,8.258,MBA
Westerlund,Sq,2.203,0.199,0,0,8.262,MBA
Stradonice,Sr,2.289,0.056,0,0,9.326,MBA
Cavaille-Coll,S,2.156,0.033,0,0,8.951,MBA
Otaru,Sa,2.173,0.029,0,0,8.998,MBA
Pajdusakova,S,2.277,0.176,0,0,8.563,MBA
Harrington,S,2.396,0.303,0,0,8.191,MBA
Tholen,S,2.373,0.363,0,0,9.782,MCA
Zguridi,V,2.442,0.148,0,0,9.162,MBA
Oze,Sq,2.198,0.502,0,0,6.394,AMO
1990 BG,S,1.486,0.569,0,0,13.223,APO
Kreutz,S,1.795,0.084,0,0,9.858,MCA
Bykov,S,2.27,0.196,0,0,8.427,MBA
Juvenalis,S,2.376,0.151,0,0,8.888,MBA
Rauthgundis,V,2.292,0.111,0,0,9.025,MBA
Ottijeff,S,2.342,0.353,0,0,9.821,MCA
Birgitta,S,2.301,0.333,0,0,7.888,MCA
Gliba,Sl,2.347,0.21,0,0,8.493,MBA
Drewpinsky,S,2.195,0.083,0,0,8.826,MBA
1993 BW3,Sq,2.147,0.529,0,0,8.483,APO
Daedalus,Sr,1.461,0.614,0,0,10.275,APO
Athabasca,V,2.26,0.095,0,0,9.06,MBA
2000 EZ148,S,2.584,0.613,0,0,7.334,APO
2000 DM8,Sq,1.484,0.554,0,0,16.271,APO
1994 TW1,Sr,2.589,0.58,0,0,12.285,AMO
1993 MF,S,2.439,0.537,0,0,7.014,AMO
1990 SB,Sq,2.397,0.545,0,0,8.236,AMO
Boreas,S,2.273,0.449,0,0,7.693,AMO
Brucemurray,S,1.565,0.219,0,0,12.794,AMO
Midas,V,1.777,0.65,0,0,14.124,APO (PHA)
Toro,S,1.367,0.436,0,0,6.67,APO
Clarke,S,2.145,0.202,0,0,8.227,MBA
Eros,S,1.458,0.223,0,0,6.112,AMO
Belton,V,2.355,0.102,0,0,9.24,MBA
1977 QQ5,S,2.225,0.466,0,0,9.66,AMO
Schleicher,V,2.343,0.05,0,0,9.485,MBA
Runcorn,Sa,2.199,0.108,0,0,8.753,MBA
1999 CV3,Sq,1.46,0.394,0,0,8.528,APO
Cuno,Sq,1.983,0.634,0,0,7.405,APO (PHA)
Albert,S,2.639,0.546,0,0,7.725,AMO
2000 NM,Sr,2.688,0.663,0,0,9.375,APO
1995 BM2,Sq,2.316,0.307,0,0,9.892,MCA
2001 RM,S,2.253,0.483,0,0,12.477,AMO
1997 RD1,Sq,2.672,0.397,0,0,8.927,MCA
Cleobulus,Sq,2.705,0.524,0,0,7.355,AMO
Donnashirley,S,2.28,0.337,0,0,9.83,MCA
Geographos,S,1.245,0.335,0,0,6.747,APO (PHA)
Shoemaker,Sa,1.8,0.082,0,0,12.777,MCA
Magellan,V,1.82,0.326,0,0,9.156,AMO
Fredclifford,S,1.974,0.225,0,0,11.576,MCA
1994 RH,S,2.246,0.441,0,0,8.606,AMO
1998 NU,Sk,2.354,0.488,0,0,6.822,AMO
Tukmit,Sr,1.186,0.272,0,0,14.146,APO
1996 UK,Sq,2.691,0.459,0,0,8.291,MCA
1999 YN4,S,1.685,0.232,0,0,13.424,AMO
Peleus,Sq,2.117,0.536,0,0,9.304,APO
Nefertiti,Sq,1.574,0.284,0,0,11.571,AMO
1999 TX16,Ld,1.551,0.332,0,0,12.834,AMO
Antinous,Sq,2.259,0.607,0,0,8.346,APO
1998 BM10,Sq,2.42,0.368,0,0,10.389,MCA
1999 KU4,S,2.193,0.406,0,0,7.281,MCA
Zephyr,S,1.962,0.492,0,0,5.898,APO (PHA)
2001 VS78,S,1.787,0.308,0,0,9.053,AMO
1998 XM4,S,1.657,0.416,0,0,21.18,APO
1998 FM5,S,2.27,0.552,0,0,7.014,AMO
Eureka,Sr,1.524,0.065,0,0,9.658,MCA
1997 WU22,S,1.468,0.442,0,0,7.418,APO
2000 SE45,S,2.74,0.561,0,0,7.494,AMO
Ondaatje,Sr,1.626,0.221,0,0,9.244,AMO
Morpheus,Sq,2.296,0.772,0,0,9.256,APO
Oljato,Sq,2.174,0.713,0,0,7.947,APO (PHA)
